Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein [Bradyrhizobium sp. WSM1417],Bradyrhizobium sp. WSM1417,NA,754500,46.3,46.3,75%,0.001,22.67,130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_027520138.1?report=genbank&log$=prottop&blast_rank=4086&RID=2AYZ3C4E016"",""WP_027520138.1"")"
Nif11-like leader peptide family natural product precursor [Deltaproteobacteria bacterium],Deltaproteobacteria bacterium,NA,2026735,47.4,47.4,45%,0.001,26.67,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RJR40930.1?report=genbank&log$=prottop&blast_rank=4087&RID=2AYZ3C4E016"",""RJR40930.1"")"
Nif11 family protein [Synechococcus sp. BOUM118],Synechococcus sp. BOUM118,NA,1442552,44.4,44.4,54%,0.001,12.96,57,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186592505.1?report=genbank&log$=prottop&blast_rank=4088&RID=2AYZ3C4E016"",""WP_186592505.1"")"
Nif11 family protein [Myxococcus fulvus],Myxococcus fulvus,NA,33,44.7,44.7,64%,0.001,17.91,68,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_074954835.1?report=genbank&log$=prottop&blast_rank=4089&RID=2AYZ3C4E016"",""WP_074954835.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,44.7,44.7,60%,0.001,8.47,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_115022935.1?report=genbank&log$=prottop&blast_rank=4090&RID=2AYZ3C4E016"",""WP_115022935.1"")"
hypothetical protein [Anabaena subtropica],Anabaena subtropica,NA,425380,44.7,44.7,63%,0.001,23.29,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190408292.1?report=genbank&log$=prottop&blast_rank=4091&RID=2AYZ3C4E016"",""WP_190408292.1"")"
Nif11-like leader peptide family natural product precursor [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,45.5,45.5,61%,0.001,19.35,103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBA3867817.1?report=genbank&log$=prottop&blast_rank=4092&RID=2AYZ3C4E016"",""MBA3867817.1"")"
TPA: Nif11 family protein [Gammaproteobacteria bacterium],Gammaproteobacteria bacterium,NA,1913989,44.7,44.7,67%,0.001,25.76,70,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HIM70536.1?report=genbank&log$=prottop&blast_rank=4093&RID=2AYZ3C4E016"",""HIM70536.1"")"
Nif11-like leader peptide family natural product precursor [Acidimicrobiaceae bacterium],Acidimicrobiaceae bacterium,NA,2024894,45.5,45.5,50%,0.001,22.45,107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MAF46507.1?report=genbank&log$=prottop&blast_rank=4094&RID=2AYZ3C4E016"",""MAF46507.1"")"
TPA: hypothetical protein [Synechococcus sp. UBA9887],Synechococcus sp. UBA9887,NA,2055763,44.4,44.4,48%,0.001,16.67,56,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCX54601.1?report=genbank&log$=prottop&blast_rank=4095&RID=2AYZ3C4E016"",""HCX54601.1"")"
MULTISPECIES: Nif11 family protein [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,44.4,44.4,57%,0.001,15.79,57,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_007101836.1?report=genbank&log$=prottop&blast_rank=4096&RID=2AYZ3C4E016"",""WP_007101836.1"")"
hypothetical protein [Nostoc sp. CENA543],Nostoc sp. CENA543,NA,1869241,45.9,45.9,88%,0.001,19.67,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_103136455.1?report=genbank&log$=prottop&blast_rank=4097&RID=2AYZ3C4E016"",""WP_103136455.1"")"
hypothetical protein NIES4073_54100 [Scytonema sp. NIES-4073],Scytonema sp. NIES-4073,NA,2005464,45.9,45.9,75%,0.001,16.47,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAZ24515.1?report=genbank&log$=prottop&blast_rank=4098&RID=2AYZ3C4E016"",""BAZ24515.1"")"
hypothetical protein [Agrobacterium tumefaciens],Agrobacterium tumefaciens,NA,358,45.5,45.5,80%,0.001,20.69,100,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NTA89403.1?report=genbank&log$=prottop&blast_rank=4099&RID=2AYZ3C4E016"",""NTA89403.1"")"
TPA: Nif11-like leader peptide family natural product precursor [Synechococcales bacterium UBA8138],Synechococcales bacterium UBA8138,NA,2055796,44.0,44.0,45%,0.001,24.44,45,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBU27048.1?report=genbank&log$=prottop&blast_rank=4100&RID=2AYZ3C4E016"",""HBU27048.1"")"
MULTISPECIES: Nif11 family protein [Calothrix],Calothrix,NA,1186,45.9,45.9,59%,0.001,20.69,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190550666.1?report=genbank&log$=prottop&blast_rank=4101&RID=2AYZ3C4E016"",""WP_190550666.1"")"
Nif11 domain/cupin domain-containing protein [Synechococcus lacustris],Synechococcus lacustris,NA,2116544,47.1,47.1,43%,0.001,18.87,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_180653345.1?report=genbank&log$=prottop&blast_rank=4102&RID=2AYZ3C4E016"",""WP_180653345.1"")"
hypothetical protein SynWH8101_2152 [Synechococcus sp. WH 8101],Synechococcus sp. WH 8101,NA,59932,44.7,44.7,57%,0.001,15.79,78,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QBE69733.1?report=genbank&log$=prottop&blast_rank=4103&RID=2AYZ3C4E016"",""QBE69733.1"")"
Nif11-like leader peptide family natural product precursor [Synechococcus sp. MED-G69],Synechococcus sp. MED-G69,NA,2267258,45.5,45.5,62%,0.001,24.59,98,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RCL58082.1?report=genbank&log$=prottop&blast_rank=4104&RID=2AYZ3C4E016"",""RCL58082.1"")"
hypothetical protein [Burkholderiales bacterium],Burkholderiales bacterium,NA,1891238,45.9,45.9,75%,0.001,14.10,133,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBI3532648.1?report=genbank&log$=prottop&blast_rank=4105&RID=2AYZ3C4E016"",""MBI3532648.1"")"
Nif11-like leader peptide family natural product precursor [Nitrosomonadales bacterium],Nitrosomonadales bacterium,NA,2026761,44.7,44.7,48%,0.001,29.17,72,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBI4809164.1?report=genbank&log$=prottop&blast_rank=4106&RID=2AYZ3C4E016"",""MBI4809164.1"")"
DUF2624 family protein [Succiniclasticum ruminis],Succiniclasticum ruminis,NA,40841,45.1,45.1,70%,0.001,23.19,88,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_143089396.1?report=genbank&log$=prottop&blast_rank=4107&RID=2AYZ3C4E016"",""WP_143089396.1"")"
hypothetical protein [Ruminococcaceae bacterium],Ruminococcaceae bacterium,NA,1898205,45.5,45.5,67%,0.001,31.82,99,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD9060699.1?report=genbank&log$=prottop&blast_rank=4108&RID=2AYZ3C4E016"",""MBD9060699.1"")"
hypothetical protein [Scytonema sp. UIC 10036],Scytonema sp. UIC 10036,NA,2304196,45.1,45.1,67%,0.001,20.25,86,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_155746764.1?report=genbank&log$=prottop&blast_rank=4109&RID=2AYZ3C4E016"",""WP_155746764.1"")"
bacteriocin propeptide [Methylococcaceae bacterium NSP1-1],Methylococcaceae bacterium NSP1-1,NA,1917480,44.7,44.7,50%,0.001,28.57,72,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OYV16984.1?report=genbank&log$=prottop&blast_rank=4110&RID=2AYZ3C4E016"",""OYV16984.1"")"
Nif11 family protein [Nostoc sp. 106C],Nostoc sp. 106C,NA,1932667,45.1,45.1,66%,0.001,19.74,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_086766135.1?report=genbank&log$=prottop&blast_rank=4111&RID=2AYZ3C4E016"",""WP_086766135.1"")"
TPA: hypothetical protein [Clostridiales bacterium],Clostridiales bacterium,NA,1898207,45.5,45.5,67%,0.001,24.05,111,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HAJ66002.1?report=genbank&log$=prottop&blast_rank=4112&RID=2AYZ3C4E016"",""HAJ66002.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,45.1,45.1,76%,0.001,24.00,91,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186537595.1?report=genbank&log$=prottop&blast_rank=4113&RID=2AYZ3C4E016"",""WP_186537595.1"")"
Nif11-like leader peptide family natural product precursor [Chlorobiaceae bacterium],Chlorobiaceae bacterium,NA,2067991,45.1,45.1,75%,0.001,29.73,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NTU53440.1?report=genbank&log$=prottop&blast_rank=4114&RID=2AYZ3C4E016"",""NTU53440.1"")"
Nif11 family protein [Azorhizobium oxalatiphilum],Azorhizobium oxalatiphilum,NA,980631,45.1,45.1,85%,0.001,21.51,94,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_188579358.1?report=genbank&log$=prottop&blast_rank=4115&RID=2AYZ3C4E016"",""WP_188579358.1"")"
Nif11 family protein [Nostoc sp. RF31YmG],Nostoc sp. RF31YmG,NA,1932668,45.1,45.1,66%,0.001,19.74,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_086833690.1?report=genbank&log$=prottop&blast_rank=4116&RID=2AYZ3C4E016"",""WP_086833690.1"")"
hypothetical protein [Rhizobium leguminosarum],Rhizobium leguminosarum,NA,384,45.5,45.5,67%,0.001,16.42,118,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_168349498.1?report=genbank&log$=prottop&blast_rank=4117&RID=2AYZ3C4E016"",""WP_168349498.1"")"
hypothetical protein ETSY2_03690 [Candidatus Entotheonella gemina],Candidatus Entotheonella gemina,NA,1429439,46.3,46.3,84%,0.001,24.42,143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ETX08727.1?report=genbank&log$=prottop&blast_rank=4118&RID=2AYZ3C4E016"",""ETX08727.1"")"
putative ribosomally synthesized peptide with nif11-like leader [Alteromonadaceae bacterium 2052S.S.stab0a.01],Alteromonadaceae bacterium 2052S.S.stab0a.01,NA,1304900,44.7,44.7,48%,0.001,16.67,72,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RKQ98427.1?report=genbank&log$=prottop&blast_rank=4119&RID=2AYZ3C4E016"",""RKQ98427.1"")"
Conserved hypothetical protein [Prochlorococcus marinus str. MIT 9303],Prochlorococcus marinus str. MIT 9303,NA,59922,44.7,44.7,69%,0.001,26.47,76,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABM78890.1?report=genbank&log$=prottop&blast_rank=4120&RID=2AYZ3C4E016"",""ABM78890.1"")"
DUF2624 family protein [Schwartzia succinivorans],Schwartzia succinivorans,NA,55507,44.7,44.7,69%,0.001,23.53,78,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE6095984.1?report=genbank&log$=prottop&blast_rank=4121&RID=2AYZ3C4E016"",""MBE6095984.1"")"
Nif11 family protein [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,45.5,45.5,78%,0.001,21.18,106,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC8509003.1?report=genbank&log$=prottop&blast_rank=4122&RID=2AYZ3C4E016"",""MBC8509003.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [Nostoc],Nostoc,NA,1177,45.1,45.1,61%,0.001,27.87,95,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190956329.1?report=genbank&log$=prottop&blast_rank=4123&RID=2AYZ3C4E016"",""WP_190956329.1"")"
Nif11-like leader peptide family natural product precursor [Synechococcus sp. BS301-5m-G54],Synechococcus sp. BS301-5m-G54,NA,2781764,44.7,44.7,48%,0.001,16.67,74,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBL6739504.1?report=genbank&log$=prottop&blast_rank=4124&RID=2AYZ3C4E016"",""MBL6739504.1"")"
Nif11-like leader peptide family natural product precursor [Synechococcaceae bacterium WB9_2_112],Synechococcaceae bacterium WB9_2_112,NA,2448806,44.4,44.4,53%,0.001,25.00,54,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NDC35237.1?report=genbank&log$=prottop&blast_rank=4125&RID=2AYZ3C4E016"",""NDC35237.1"")"
Nif11 family protein [Bradyrhizobium yuanmingense],Bradyrhizobium yuanmingense,NA,108015,45.9,45.9,58%,0.001,18.97,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT54115.1?report=genbank&log$=prottop&blast_rank=4126&RID=2AYZ3C4E016"",""MVT54115.1"")"
TPA: hypothetical protein [Ruminococcaceae bacterium],Ruminococcaceae bacterium,NA,1898205,45.1,45.1,67%,0.001,30.30,99,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBJ25092.1?report=genbank&log$=prottop&blast_rank=4127&RID=2AYZ3C4E016"",""HBJ25092.1"")"
hypothetical protein [Fulvimarina manganoxydans],Fulvimarina manganoxydans,NA,937218,45.5,45.5,77%,0.001,15.66,113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_139798382.1?report=genbank&log$=prottop&blast_rank=4128&RID=2AYZ3C4E016"",""WP_139798382.1"")"
hypothetical protein [Rhizobium leguminosarum],Rhizobium leguminosarum,NA,384,45.5,45.5,67%,0.001,17.91,106,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_077988140.1?report=genbank&log$=prottop&blast_rank=4129&RID=2AYZ3C4E016"",""WP_077988140.1"")"
MULTISPECIES: hypothetical protein [Rhizobium],Rhizobium,NA,379,45.5,45.5,67%,0.001,17.91,106,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_094231115.1?report=genbank&log$=prottop&blast_rank=4130&RID=2AYZ3C4E016"",""WP_094231115.1"")"
bacteriocin [Synechococcus sp. MED650],Synechococcus sp. MED650,NA,2024882,44.7,44.7,61%,0.001,23.33,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MAI96182.1?report=genbank&log$=prottop&blast_rank=4131&RID=2AYZ3C4E016"",""MAI96182.1"")"
DUF2624 family protein [Succiniclasticum ruminis],Succiniclasticum ruminis,NA,40841,44.7,44.7,64%,0.001,26.98,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_093729331.1?report=genbank&log$=prottop&blast_rank=4132&RID=2AYZ3C4E016"",""WP_093729331.1"")"
hypothetical protein [Firmicutes bacterium],Firmicutes bacterium,NA,1879010,45.5,45.5,93%,0.001,22.58,109,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLO95837.1?report=genbank&log$=prottop&blast_rank=4133&RID=2AYZ3C4E016"",""NLO95837.1"")"
hypothetical protein FD135_2059 [Comamonadaceae bacterium],Comamonadaceae bacterium,NA,1871071,45.5,45.5,76%,0.001,24.69,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TXT39627.1?report=genbank&log$=prottop&blast_rank=4134&RID=2AYZ3C4E016"",""TXT39627.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW105],Synechococcus sp. UW105,NA,337067,44.7,44.7,43%,0.001,21.28,73,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_115121352.1?report=genbank&log$=prottop&blast_rank=4135&RID=2AYZ3C4E016"",""WP_115121352.1"")"
Nif11 family protein [Calothrix sp. FACHB-156],Calothrix sp. FACHB-156,NA,2692779,44.7,44.7,66%,0.001,21.05,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190580874.1?report=genbank&log$=prottop&blast_rank=4136&RID=2AYZ3C4E016"",""WP_190580874.1"")"
hypothetical protein [Alphaproteobacteria bacterium HT1-32],Alphaproteobacteria bacterium HT1-32,NA,2665153,45.1,45.1,77%,0.001,25.00,95,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MRG73950.1?report=genbank&log$=prottop&blast_rank=4137&RID=2AYZ3C4E016"",""MRG73950.1"")"
hypothetical protein [Rhizobium leguminosarum],Rhizobium leguminosarum,NA,384,45.5,45.5,67%,0.001,16.42,118,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_168266292.1?report=genbank&log$=prottop&blast_rank=4138&RID=2AYZ3C4E016"",""WP_168266292.1"")"
hypothetical protein BI308_02890 [Roseofilum reptotaenium AO1-A],Roseofilum reptotaenium AO1-A,NA,1925591,44.7,44.7,68%,0.001,25.71,71,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OJJ27018.1?report=genbank&log$=prottop&blast_rank=4139&RID=2AYZ3C4E016"",""OJJ27018.1"")"
TPA: hypothetical protein [Ruminococcaceae bacterium],Ruminococcaceae bacterium,NA,1898205,45.1,45.1,67%,0.001,31.82,99,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBJ25061.1?report=genbank&log$=prottop&blast_rank=4140&RID=2AYZ3C4E016"",""HBJ25061.1"")"
hypothetical protein EV05_1376 [Prochlorococcus sp. MIT 0601],Prochlorococcus sp. MIT 0601,NA,1499498,44.4,44.4,39%,0.001,20.51,59,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KGG12171.1?report=genbank&log$=prottop&blast_rank=4141&RID=2AYZ3C4E016"",""KGG12171.1"")"
conserved hypothetical protein [uncultured Synechococcus sp.],uncultured Synechococcus sp.,NA,154535,45.1,45.1,62%,0.001,22.95,98,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHZ34047.1?report=genbank&log$=prottop&blast_rank=4142&RID=2AYZ3C4E016"",""AHZ34047.1"")"
Nif11-like leader peptide family natural product precursor [Methylococcaceae bacterium],Methylococcaceae bacterium,NA,1933926,44.7,44.7,50%,0.001,30.61,72,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NOS89623.1?report=genbank&log$=prottop&blast_rank=4143&RID=2AYZ3C4E016"",""NOS89623.1"")"
Nif11-like leader peptide family RiPP precursor [Phormidium ambiguum],Phormidium ambiguum,NA,71191,46.7,46.7,80%,0.001,26.74,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_073593218.1?report=genbank&log$=prottop&blast_rank=4144&RID=2AYZ3C4E016"",""WP_073593218.1"")"
hypothetical protein [Ruminococcaceae bacterium],Ruminococcaceae bacterium,NA,1898205,44.7,44.7,67%,0.001,31.82,86,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD9060693.1?report=genbank&log$=prottop&blast_rank=4145&RID=2AYZ3C4E016"",""MBD9060693.1"")"
hypothetical protein [Erysipelotrichaceae bacterium],Erysipelotrichaceae bacterium,NA,2049044,45.9,45.9,66%,0.001,28.79,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE6128312.1?report=genbank&log$=prottop&blast_rank=4146&RID=2AYZ3C4E016"",""MBE6128312.1"")"
Nif11-like leader peptide family natural product precursor [Anaerolineaceae bacterium],Anaerolineaceae bacterium,NA,2024896,44.7,44.7,61%,0.001,19.35,73,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBI1279006.1?report=genbank&log$=prottop&blast_rank=4147&RID=2AYZ3C4E016"",""MBI1279006.1"")"
hypothetical protein [Anaerolinea sp. 'rifampicinis'],Anaerolinea sp. 'rifampicinis',NA,2710758,44.7,44.7,59%,0.001,23.33,76,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_195170925.1?report=genbank&log$=prottop&blast_rank=4148&RID=2AYZ3C4E016"",""WP_195170925.1"")"
hypothetical protein A2503_05270 [Burkholderiales bacterium RIFOXYD12_FULL_59_19],Burkholderiales bacterium RIFOXYD12_FULL_59_19,NA,1797574,44.7,44.7,77%,0.001,20.73,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OGB53348.1?report=genbank&log$=prottop&blast_rank=4149&RID=2AYZ3C4E016"",""OGB53348.1"")"
aspartyl/asparaginyl beta-hydroxylase domain-containing protein [Pseudomonas resinovorans],Pseudomonas resinovorans,NA,53412,47.1,47.1,57%,0.001,21.67,263,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_016491608.1?report=genbank&log$=prottop&blast_rank=4150&RID=2AYZ3C4E016"",""WP_016491608.1"")"
Nif11 domain/cupin domain-containing protein [Synechococcus sp. TMED19],Synechococcus sp. TMED19,NA,1986596,46.7,46.7,44%,0.002,16.67,180,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OUT73107.1?report=genbank&log$=prottop&blast_rank=4151&RID=2AYZ3C4E016"",""OUT73107.1"")"
Nif11 family protein [Synechococcus sp. PCC 7335],Synechococcus sp. PCC 7335,NA,91464,44.7,44.7,50%,0.002,23.64,83,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_006456573.1?report=genbank&log$=prottop&blast_rank=4152&RID=2AYZ3C4E016"",""WP_006456573.1"")"
hypothetical protein COS90_05420 [Deltaproteobacteria bacterium CG07_land_8_20_14_0_80_60_11],Deltaproteobacteria bacterium CG07_land_8_20_14_0_80_60_11,NA,1973972,45.5,45.5,38%,0.002,44.74,112,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PIU53578.1?report=genbank&log$=prottop&blast_rank=4153&RID=2AYZ3C4E016"",""PIU53578.1"")"
Nif11-like leader peptide family RiPP precursor [Actinomadura sp. NEAU-G17],Actinomadura sp. NEAU-G17,NA,2293572,47.1,47.1,61%,0.002,18.33,301,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_117357560.1?report=genbank&log$=prottop&blast_rank=4154&RID=2AYZ3C4E016"",""WP_117357560.1"")"
Nif11 family protein [Pseudanabaena sp. PCC 6802],Pseudanabaena sp. PCC 6802,NA,118173,45.9,45.9,55%,0.002,27.59,125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_019502198.1?report=genbank&log$=prottop&blast_rank=4155&RID=2AYZ3C4E016"",""WP_019502198.1"")"
hypothetical protein [Ruminococcaceae bacterium],Ruminococcaceae bacterium,NA,1898205,45.1,45.1,67%,0.002,28.79,99,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD9060418.1?report=genbank&log$=prottop&blast_rank=4156&RID=2AYZ3C4E016"",""MBD9060418.1"")"
hypothetical protein [Lachnoclostridium phytofermentans],Lachnoclostridium phytofermentans,NA,66219,44.7,44.7,83%,0.002,23.17,82,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_029501474.1?report=genbank&log$=prottop&blast_rank=4157&RID=2AYZ3C4E016"",""WP_029501474.1"")"
Nif11 family protein [Synechococcaceae cyanobacterium RL_1_2],Synechococcaceae cyanobacterium RL_1_2,NA,2720420,45.5,45.5,45%,0.002,24.49,107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NJN75580.1?report=genbank&log$=prottop&blast_rank=4158&RID=2AYZ3C4E016"",""NJN75580.1"")"
Nif11-like leader peptide family natural product precursor [Crenothrix sp. D3],Crenothrix sp. D3,NA,1880899,44.4,44.4,50%,0.002,28.57,72,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OTE98105.1?report=genbank&log$=prottop&blast_rank=4159&RID=2AYZ3C4E016"",""OTE98105.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [Methylomonas],Methylomonas,NA,416,44.4,44.4,43%,0.002,27.91,72,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_054763020.1?report=genbank&log$=prottop&blast_rank=4160&RID=2AYZ3C4E016"",""WP_054763020.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW105],Synechococcus sp. UW105,NA,337067,44.7,44.7,68%,0.002,19.40,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_115119831.1?report=genbank&log$=prottop&blast_rank=4161&RID=2AYZ3C4E016"",""WP_115119831.1"")"
Nif11 family protein [Synechococcus sp. TMED20],Synechococcus sp. TMED20,NA,1986597,44.7,44.7,65%,0.002,18.75,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RPF79560.1?report=genbank&log$=prottop&blast_rank=4162&RID=2AYZ3C4E016"",""RPF79560.1"")"
Nitrogen fixation protein of unknown function [Desulfovibrio magneticus str. Maddingley MBC34],Desulfovibrio magneticus str. Maddingley MBC34,NA,1206767,44.4,44.4,54%,0.002,24.53,60,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EKO40185.1?report=genbank&log$=prottop&blast_rank=4163&RID=2AYZ3C4E016"",""EKO40185.1"")"
Nif11-like leader peptide family RiPP precursor [Pleurocapsales cyanobacterium LEGE 06147],Pleurocapsales cyanobacterium LEGE 06147,NA,1828827,47.1,47.1,57%,0.002,12.50,392,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE9169705.1?report=genbank&log$=prottop&blast_rank=4164&RID=2AYZ3C4E016"",""MBE9169705.1"")"
hypothetical protein MFUL124B02_26195 [Myxococcus fulvus 124B02],Myxococcus fulvus 124B02,NA,1334629,44.4,44.4,64%,0.002,17.91,68,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AKF86395.1?report=genbank&log$=prottop&blast_rank=4165&RID=2AYZ3C4E016"",""AKF86395.1"")"
Nif11-like leader peptide family RiPP precursor [Prosthecochloris sp. GSB1],Prosthecochloris sp. GSB1,NA,281093,44.7,44.7,57%,0.002,33.93,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_094082661.1?report=genbank&log$=prottop&blast_rank=4166&RID=2AYZ3C4E016"",""WP_094082661.1"")"
hypothetical protein [Rhizobium leguminosarum],Rhizobium leguminosarum,NA,384,45.5,45.5,75%,0.002,17.33,118,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_131614200.1?report=genbank&log$=prottop&blast_rank=4167&RID=2AYZ3C4E016"",""WP_131614200.1"")"
Nif11 family protein [Myxococcus eversor],Myxococcus eversor,NA,2709661,44.4,44.4,64%,0.002,20.90,68,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_163864507.1?report=genbank&log$=prottop&blast_rank=4168&RID=2AYZ3C4E016"",""WP_163864507.1"")"
unnamed protein product,,,0,45.5,45.5,75%,0.002,19.39,125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190481878.1?report=genbank&log$=prottop&blast_rank=4169&RID=2AYZ3C4E016"",""WP_190481878.1"")"
Nif11 family protein [Synechococcus sp. CB0205],Synechococcus sp. CB0205,NA,232363,44.7,44.7,70%,0.002,19.18,83,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_010316784.1?report=genbank&log$=prottop&blast_rank=4170&RID=2AYZ3C4E016"",""WP_010316784.1"")"
